,rt,serialno,division,sporder,puma,region,st,adjinc,pwgtp,agep,cit,citwp,cow,ddrs,dear,deye,dout,dphy,drat,dratx,drem,eng,fer,gcl,gcm,gcr,hins1,hins2,hins3,hins4,hins5,hins6,hins7,intp,jwmnp,jwrip,jwtr,lanx,mar,marhd,marhm,marht,marhw,marhyp,mig,mil,mlpa,mlpb,mlpcd,mlpe,mlpfg,mlph,mlpi,mlpj,mlpk,nwab,nwav,nwla,nwlk,nwre,oip,pap,relp,retp,sch,schg,schl,semp,sex,ssip,ssp,wagp,wkhp,wkl,wkw,wrk,yoep,anc,anc1p,anc2p,decade,dis,drivesp,esp,esr,fod1p,fod2p,hicov,hisp,indp,jwap,jwdp,lanp,migpuma,migsp,msp,naicsp,nativity,nop,oc,occp,paoc,pernp,pincp,pobp,povpip,powpuma,powsp,privcov,pubcov,qtrbir,rac1p,rac2p,rac3p,racaian,racasn,racblk,racnh,racnum,racpi,racsor,racwht,rc,sciengp,sciengrlp,sfn,sfr,socp,vps,waob,fagep,fancp,fcitp,fcitwp,fcowp,fddrsp,fdearp,fdeyep,fdisp,fdoutp,fdphyp,fdratp,fdratxp,fdremp,fengp,fesrp,fferp,ffodp,fgclp,fgcmp,fgcrp,fhicovp,fhins1p,fhins2p,fhins3c,fhins3p,fhins4c,fhins4p,fhins5c,fhins5p,fhins6p,fhins7p,fhisp,findp,fintp,fjwdp,fjwmnp,fjwrip,fjwtrp,flanp,flanxp,fmarp,fmarhdp,fmarhmp,fmarhtp,fmarhwp,fmarhyp,fmigp,fmigsp,fmilpp,fmilsp,foccp,foip,fpap,fpernp,fpincp,fpobp,fpowsp,fprivcovp,fpubcovp,fracp,frelp,fretp,fschgp,fschlp,fschp,fsemp,fsexp,fssip,fssp,fwagp,fwkhp,fwklp,fwkwp,fwrkp,fyoep,pwgtp1,pwgtp2,pwgtp3,pwgtp4,pwgtp5,pwgtp6,pwgtp7,pwgtp8,pwgtp9,pwgtp10,pwgtp11,pwgtp12,pwgtp13,pwgtp14,pwgtp15,pwgtp16,pwgtp17,pwgtp18,pwgtp19,pwgtp20,pwgtp21,pwgtp22,pwgtp23,pwgtp24,pwgtp25,pwgtp26,pwgtp27,pwgtp28,pwgtp29,pwgtp30,pwgtp31,pwgtp32,pwgtp33,pwgtp34,pwgtp35,pwgtp36,pwgtp37,pwgtp38,pwgtp39,pwgtp40,pwgtp41,pwgtp42,pwgtp43,pwgtp44,pwgtp45,pwgtp46,pwgtp47,pwgtp48,pwgtp49,pwgtp50,pwgtp51,pwgtp52,pwgtp53,pwgtp54,pwgtp55,pwgtp56,pwgtp57,pwgtp58,pwgtp59,pwgtp60,pwgtp61,pwgtp62,pwgtp63,pwgtp64,pwgtp65,pwgtp66,pwgtp67,pwgtp68,pwgtp69,pwgtp70,pwgtp71,pwgtp72,pwgtp73,pwgtp74,pwgtp75,pwgtp76,pwgtp77,pwgtp78,pwgtp79,pwgtp80
0,P,2013000121584,9,02,11611,4,53,1061971,19.0,18.0,1.0,,1,2,2,2,2,2,,,2,,,,,,2,2,2,1,2,2,2,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,1,,15,0.0,1,0.0,0.0,0.0,,2,,2,,4,999,999,,2,,,6,,,1,01,3895,,,,,,6,337     ,1,,0,9130,,0.0,0.0,053,90.0,,,2,1,2,1,01,001,0,0,0,0,1,0,0,1,0,,,,,533030,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,39.0,15.0,21.0,35.0,23.0,30.0,7.0,6.0,21.0,15.0,24.0,31.0,23.0,6.0,22.0,7.0,6.0,29.0,16.0,23.0,23.0,21.0,20.0,21.0,17.0,29.0,4.0,6.0,19.0,25.0,22.0,28.0,15.0,5.0,21.0,6.0,5.0,30.0,17.0,22.0,32.0,21.0,26.0,32.0,20.0,32.0,9.0,8.0,14.0,22.0,18.0,31.0,18.0,7.0,27.0,5.0,9.0,27.0,23.0,16.0,23.0,17.0,19.0,33.0,18.0,32.0,5.0,6.0,20.0,17.0,21.0,32.0,17.0,5.0,12.0,7.0,4.0,30.0,21.0
1,P,2013000413288,9,03,11610,4,53,1061971,38.0,18.0,1.0,,,2,2,2,2,2,,,2,,2,,,,2,2,2,2,2,2,2,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,1,,16,0.0,2,0.0,0.0,0.0,,3,,2,,2,050,032,,2,,,6,,,2,01,,,,,,,6,,1,,0,,4,0.0,0.0,053,248.0,,,2,2,1,1,01,001,0,0,0,0,1,0,0,1,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,32.0,40.0,14.0,10.0,82.0,11.0,42.0,35.0,38.0,56.0,70.0,51.0,34.0,17.0,65.0,23.0,20.0,34.0,78.0,9.0,55.0,82.0,31.0,42.0,28.0,33.0,15.0,47.0,32.0,55.0,39.0,11.0,63.0,34.0,30.0,14.0,42.0,18.0,37.0,36.0,48.0,28.0,63.0,70.0,13.0,58.0,30.0,26.0,13.0,14.0,11.0,37.0,62.0,76.0,15.0,43.0,56.0,34.0,11.0,58.0,13.0,9.0,49.0,46.0,36.0,31.0,61.0,15.0,39.0,33.0,59.0,55.0,9.0,33.0,27.0,63.0,31.0,63.0,38.0
2,P,2013000204235,9,03,11613,4,53,1061971,17.0,17.0,1.0,,,2,2,2,2,2,,,2,,,,,,2,2,2,2,1,2,2,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,1,,13,0.0,1,0.0,0.0,0.0,,3,,2,,2,032,088,,2,,7,6,,,1,01,,,,,,,6,,1,7,1,,,0.0,0.0,037,169.0,,,1,2,2,1,01,001,0,0,0,0,1,0,0,1,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,5.0,7.0,29.0,26.0,5.0,18.0,26.0,5.0,5.0,17.0,19.0,32.0,13.0,17.0,19.0,14.0,32.0,18.0,18.0,17.0,25.0,27.0,5.0,5.0,23.0,15.0,4.0,27.0,25.0,15.0,20.0,5.0,18.0,16.0,17.0,20.0,5.0,21.0,14.0,18.0,7.0,6.0,25.0,31.0,5.0,16.0,26.0,5.0,6.0,16.0,19.0,29.0,17.0,17.0,17.0,15.0,26.0,18.0,16.0,19.0,27.0,25.0,4.0,4.0,29.0,16.0,5.0,28.0,25.0,20.0,19.0,5.0,17.0,17.0,15.0,15.0,5.0,20.0,19.0
3,P,2013000303198,9,04,11613,4,53,1061971,10.0,16.0,5.0,,,2,2,2,2,2,,,2,1,,,,,2,2,2,1,2,2,2,0.0,,,,1,5,,,,,,3,,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,1,,15,0.0,1,0.0,0.0,0.0,,3,,2,2003.0,1,102,999,7,2,,2,6,,,1,01,,,,1250,11600,053,6,,2,4,1,,,0.0,0.0,160,106.0,,,2,1,2,1,01,001,0,0,0,0,1,0,0,1,1,,,,,,,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,9.0,21.0,17.0,3.0,19.0,12.0,10.0,3.0,3.0,3.0,12.0,11.0,14.0,3.0,11.0,15.0,11.0,11.0,18.0,18.0,15.0,10.0,9.0,9.0,8.0,3.0,17.0,9.0,9.0,9.0,3.0,17.0,11.0,10.0,3.0,11.0,3.0,4.0,9.0,10.0,15.0,3.0,3.0,19.0,3.0,10.0,9.0,16.0,18.0,16.0,12.0,10.0,3.0,18.0,10.0,3.0,9.0,10.0,3.0,3.0,3.0,9.0,8.0,9.0,10.0,16.0,3.0,10.0,9.0,12.0,20.0,3.0,10.0,10.0,16.0,9.0,21.0,20.0,11.0
4,P,2013000360571,9,02,11611,4,53,1061971,23.0,18.0,1.0,,9,2,2,2,2,2,,,2,,2,,,,2,2,2,1,2,2,2,0.0,,,,2,5,,,,,,3,4,,,,,,,,,,2,1,2,1,2,0.0,3900.0,13,0.0,1,,13,0.0,2,0.0,0.0,0.0,,3,,2,,2,939,051,,2,,,3,,,1,01,9920,,,,11900,053,6,9920    ,1,,0,9920,4,0.0,3900.0,053,32.0,,,2,1,4,1,01,001,0,0,0,0,1,0,0,1,0,,,,,999920,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,28.0,26.0,6.0,28.0,9.0,29.0,24.0,22.0,16.0,38.0,9.0,22.0,43.0,18.0,35.0,36.0,7.0,39.0,30.0,61.0,21.0,20.0,33.0,23.0,47.0,6.0,6.0,22.0,31.0,27.0,48.0,24.0,6.0,24.0,4.0,10.0,35.0,32.0,20.0,6.0,22.0,27.0,7.0,25.0,8.0,53.0,41.0,27.0,27.0,17.0,6.0,29.0,33.0,19.0,37.0,45.0,7.0,22.0,23.0,36.0,21.0,21.0,33.0,24.0,47.0,6.0,8.0,29.0,27.0,21.0,52.0,25.0,8.0,22.0,11.0,8.0,28.0,20.0,28.0
5,P,2013001071031,9,02,11611,4,53,1061971,45.0,18.0,1.0,,9,2,2,2,2,2,,,2,1,,,,,2,2,2,1,2,2,2,0.0,,,,1,5,,,,,,3,4,,,,,,,,,,2,1,2,1,3,0.0,0.0,02,0.0,1,,17,0.0,1,0.0,0.0,0.0,,3,,2,,2,291,219,,2,,,3,,,1,02,9920,,,1200,03700,006,6,9920    ,1,,0,9920,,0.0,0.0,006,64.0,,,2,1,4,1,01,001,0,0,0,0,1,0,0,1,0,,,,,999920,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,94.0,37.0,58.0,57.0,18.0,34.0,13.0,75.0,43.0,19.0,13.0,53.0,61.0,38.0,55.0,60.0,58.0,42.0,10.0,52.0,19.0,40.0,11.0,36.0,92.0,42.0,54.0,18.0,33.0,65.0,73.0,60.0,48.0,32.0,37.0,34.0,17.0,49.0,69.0,24.0,106.0,35.0,68.0,67.0,20.0,36.0,15.0,62.0,52.0,12.0,13.0,43.0,67.0,44.0,48.0,48.0,52.0,49.0,15.0,59.0,13.0,48.0,10.0,49.0,72.0,51.0,51.0,13.0,51.0,53.0,64.0,61.0,46.0,49.0,39.0,35.0,12.0,33.0,96.0
6,P,2013000916904,9,04,11614,4,53,1061971,14.0,17.0,1.0,,,1,2,2,1,1,,,1,,,,,,1,2,2,2,2,2,2,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,1,,01,0.0,1,0.0,9700.0,0.0,,3,,2,,1,939,999,,1,,4,6,,,1,01,,,,,,,6,,1,1,1,,,0.0,9700.0,053,232.0,,,1,2,2,1,01,001,0,0,0,0,1,0,0,1,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,4.0,4.0,13.0,13.0,15.0,4.0,22.0,5.0,14.0,21.0,20.0,22.0,13.0,4.0,28.0,14.0,15.0,13.0,4.0,25.0,10.0,16.0,4.0,4.0,23.0,16.0,15.0,14.0,25.0,13.0,12.0,15.0,4.0,12.0,14.0,21.0,3.0,21.0,14.0,12.0,23.0,26.0,12.0,14.0,15.0,27.0,4.0,21.0,16.0,4.0,4.0,4.0,13.0,24.0,5.0,13.0,13.0,16.0,24.0,4.0,13.0,17.0,26.0,24.0,3.0,12.0,15.0,14.0,5.0,13.0,11.0,12.0,22.0,14.0,14.0,4.0,24.0,4.0,13.0
7,P,2014000034248,9,02,11610,4,53,1045195,21.0,18.0,1.0,,1,2,2,2,2,2,,,2,,,,,,2,2,2,1,2,2,2,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,1,,13,0.0,1,0.0,0.0,300.0,6.0,1,6,2,,1,046,999,,2,,,6,,,1,01,0770,,,,,,6,23      ,1,,0,6230,,300.0,300.0,053,105.0,,,2,1,2,1,01,001,0,0,0,0,1,0,0,1,0,,,,,472031,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31.0,6.0,17.0,21.0,18.0,9.0,20.0,35.0,18.0,4.0,5.0,17.0,21.0,7.0,31.0,30.0,32.0,45.0,22.0,19.0,35.0,6.0,21.0,24.0,21.0,7.0,23.0,37.0,21.0,8.0,5.0,16.0,30.0,7.0,36.0,19.0,24.0,31.0,16.0,19.0,34.0,6.0,18.0,21.0,17.0,7.0,24.0,26.0,18.0,8.0,6.0,19.0,23.0,6.0,30.0,23.0,31.0,32.0,24.0,20.0,31.0,6.0,19.0,21.0,19.0,8.0,19.0,35.0,21.0,8.0,6.0,15.0,27.0,6.0,37.0,19.0,32.0,39.0,21.0,19.0
8,P,2013001360924,9,05,11611,4,53,1061971,12.0,18.0,1.0,,,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0.0,,,,2,5,,,,,,3,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,04,0.0,1,,01,0.0,1,0.0,0.0,0.0,,3,,2,,1,903,999,,2,,,6,,,1,01,,,,,11600,053,6,,1,,0,,,0.0,0.0,053,337.0,,,1,2,2,9,68,029,0,0,0,0,2,0,1,1,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,25.0,3.0,13.0,14.0,13.0,10.0,15.0,10.0,22.0,2.0,15.0,12.0,5.0,4.0,14.0,25.0,22.0,10.0,10.0,14.0,9.0,12.0,4.0,13.0,17.0,17.0,16.0,4.0,12.0,17.0,23.0,3.0,9.0,12.0,4.0,12.0,10.0,3.0,17.0,4.0,20.0,4.0,14.0,11.0,13.0,11.0,18.0,16.0,15.0,4.0,11.0,11.0,3.0,5.0,18.0,18.0,31.0,10.0,14.0,11.0,8.0,11.0,3.0,20.0,19.0,19.0,16.0,4.0,13.0,10.0,21.0,3.0,11.0,12.0,2.0,16.0,7.0,3.0,21.0
9,P,2013001377167,9,04,11611,4,53,1061971,109.0,18.0,4.0,2005.0,1,2,2,2,2,2,,,2,1,2,,,,2,2,2,2,2,2,2,0.0,,,,1,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,1,,16,0.0,2,0.0,0.0,0.0,,2,,2,1996.0,1,568,999,6,2,,,6,,,2,01,8680,,,4840,,,6,722Z    ,2,,0,4720,4,0.0,0.0,427,54.0,,,2,2,2,2,02,002,0,0,1,0,1,0,0,0,0,,,,,412010,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.0,137.0,104.0,47.0,129.0,127.0,35.0,151.0,120.0,80.0,40.0,107.0,117.0,140.0,138.0,106.0,47.0,173.0,113.0,145.0,33.0,135.0,115.0,132.0,35.0,31.0,118.0,122.0,66.0,169.0,105.0,153.0,176.0,134.0,168.0,40.0,87.0,118.0,83.0,167.0,98.0,42.0,185.0,156.0,145.0,111.0,122.0,30.0,135.0,86.0,115.0,99.0,118.0,36.0,113.0,101.0,170.0,43.0,36.0,126.0,130.0,124.0,48.0,127.0,171.0,128.0,127.0,122.0,175.0,44.0,106.0,51.0,34.0,128.0,43.0,123.0,95.0,109.0,122.0,58.0
10,P,2014000013474,9,02,11613,4,53,1045195,59.0,18.0,5.0,,,2,2,2,1,2,,,2,2,2,,,,2,2,2,2,2,2,2,0.0,,,,1,5,,,,,,2,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,1,,16,0.0,2,0.0,0.0,0.0,,3,,2,2014.0,1,417,999,8,1,,,6,,,2,01,,,,4500,00001,213,6,,2,,0,,4,0.0,0.0,213,0.0,,,2,2,3,1,01,001,0,0,0,0,1,0,0,1,0,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,53.0,87.0,88.0,17.0,81.0,81.0,67.0,16.0,20.0,21.0,58.0,62.0,95.0,22.0,55.0,88.0,52.0,54.0,91.0,118.0,94.0,46.0,53.0,56.0,60.0,19.0,90.0,60.0,71.0,53.0,15.0,123.0,51.0,49.0,19.0,56.0,17.0,18.0,73.0,68.0,53.0,73.0,101.0,19.0,81.0,62.0,79.0,21.0,21.0,13.0,49.0,47.0,120.0,19.0,52.0,98.0,49.0,78.0,92.0,102.0,74.0,64.0,51.0,51.0,59.0,17.0,110.0,68.0,57.0,56.0,19.0,111.0,57.0,62.0,19.0,53.0,15.0,17.0,93.0
11,P,2013001132107,9,02,11610,4,53,1061971,20.0,18.0,1.0,,,2,2,2,1,2,,,2,,,,,,2,2,2,1,2,2,2,0.0,,,,2,5,,,,,,3,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,1,,17,0.0,1,0.0,0.0,0.0,,3,,2,,2,050,021,,1,,,6,,,1,01,,,,,11600,053,6,,1,,0,,,0.0,0.0,053,116.0,,,2,1,3,1,01,001,0,0,0,0,1,0,0,1,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,25.0,27.0,19.0,26.0,27.0,22.0,34.0,16.0,5.0,26.0,29.0,6.0,23.0,17.0,8.0,16.0,7.0,25.0,4.0,20.0,21.0,31.0,22.0,38.0,24.0,22.0,35.0,18.0,8.0,32.0,27.0,9.0,20.0,20.0,4.0,15.0,5.0,16.0,6.0,19.0,19.0,28.0,20.0,28.0,23.0,20.0,23.0,18.0,6.0,33.0,32.0,6.0,20.0,17.0,6.0,20.0,5.0,21.0,6.0,17.0,19.0,31.0,22.0,29.0,26.0,21.0,31.0,21.0,8.0,39.0,25.0,6.0,25.0,21.0,6.0,17.0,6.0,19.0,5.0
12,P,2013001142649,9,08,11611,4,53,1061971,8.0,18.0,1.0,,,2,2,2,2,2,,,2,,,,,,2,2,2,2,2,2,2,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,10,0.0,1,,16,0.0,1,0.0,0.0,0.0,,3,,2,,1,720,999,,2,,,6,,,2,01,,,,,,,6,,1,,0,,,0.0,0.0,015,280.0,,,2,2,3,6,45,006,0,1,0,0,1,0,0,0,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,1,,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,7.0,8.0,9.0,11.0,17.0,9.0,12.0,2.0,15.0,2.0,16.0,2.0,2.0,12.0,7.0,8.0,7.0,7.0,6.0,8.0,3.0,15.0,14.0,9.0,5.0,3.0,8.0,7.0,6.0,9.0,3.0,5.0,7.0,14.0,15.0,4.0,2.0,14.0,2.0,9.0,5.0,8.0,6.0,3.0,2.0,10.0,2.0,14.0,2.0,15.0,8.0,18.0,17.0,10.0,9.0,7.0,8.0,8.0,7.0,9.0,19.0,3.0,2.0,6.0,15.0,14.0,12.0,7.0,6.0,10.0,16.0,9.0,9.0,3.0,3.0,9.0,13.0,2.0,11.0
